PWDR PG3_45614_200K.gsa Bank 1 Manganese oxide  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   2   2   0  12   1.56915  35424.96 126.90346     0.804     0.543   400.320     0.085     0.037     2.218     3.058
   3   1   1  24   1.33818  30211.18  90.93797    24.857    12.471   423.479     0.100     0.045     1.892   100.000
   2   2   2   8   1.28121  28925.16  82.91026     0.527     0.485   118.613     0.104     0.048     1.811     0.594
   4   0   0   6   1.10956  25050.31  60.77993     0.497     0.433    50.040     0.120     0.059     1.568     0.236
   3   3   1  24   1.01820  22987.92  50.28903    15.254    11.119   141.942     0.131     0.066     1.439    20.568
   4   2   0  24   0.99242  22405.91  47.49517     0.465     0.386   128.102     0.134     0.069     1.403     0.566
   4   2   2  24   0.90595  20453.84  38.67980     0.365     0.344    88.960     0.147     0.078     1.281     0.309
   3   3   3   8   0.85414  19284.14  33.82582    14.484     9.916    23.430     0.156     0.085     1.207     3.224
   5   1   1  24   0.85414  19284.14  33.82582    14.484     9.916    70.289     0.156     0.085     1.207     9.671
   4   4   0  12   0.78458  17713.70  27.85994     0.358     0.271    25.020     0.170     0.096     1.109     0.085
   5   3   1  48   0.75020  16937.57  25.16998    12.655     8.845    83.659     0.178     0.102     1.060    10.057
   4   4   2  24   0.73971  16700.68  24.38652     0.279     0.239    39.538     0.180     0.104     1.046     0.105
   6   0   0   6   0.73971  16700.68  24.38652     0.279     0.239     9.884     0.180     0.104     1.046     0.026
   6   2   0  24   0.70175  15843.69  21.71252     0.219     0.211    32.026     0.190     0.111     0.992     0.067
   5   3   3  24   0.67682  15281.03  20.10557    10.671     7.892    27.713     0.197     0.116     0.957     2.809
   6   2   2  24   0.66909  15106.39  19.63280     0.268     0.186    26.467     0.199     0.118     0.946     0.067
   4   4   4   8   0.64060  14463.29  18.00515     0.217     0.163     7.413     0.208     0.125     0.906     0.015
   5   5   1  24   0.62148  14031.46  17.01722    10.678     7.044    19.700     0.214     0.129     0.878     1.998
   7   1   1  24   0.62148  14031.46  17.01722    10.678     7.044    19.700     0.214     0.129     0.878     1.998
   6   4   0  24   0.61547  13895.89  16.72508     0.164     0.143    18.950     0.216     0.130     0.870     0.030
   6   4   2  48   0.59308  13390.42  15.71287     0.127     0.125    32.679     0.225     0.136     0.838     0.039
   5   5   3  24   0.57781  13045.55  15.09194     7.766     6.288    14.720     0.231     0.139     0.817     1.086
   7   3   1  48   0.57781  13045.55  15.09194     7.766     6.288    29.440     0.231     0.139     0.817     2.172
   8   0   0   6   0.55478  12525.60  14.26020     0.124     0.094     3.127     0.240     0.145     0.784     0.004
   7   3   3  24   0.54222  12241.97  13.85714     6.776     5.615    11.415     0.246     0.147     0.766     0.735
   6   4   4  24   0.53821  12151.62  13.73587     0.110     0.081    11.082     0.248     0.148     0.761     0.012
   8   2   0  24   0.53821  12151.62  13.73587     0.110     0.081    11.082     0.248     0.148     0.761     0.012
   6   6   0  12   0.52305  11809.25  13.30583     0.079     0.070     4.942     0.255     0.151     0.739     0.004
   8   2   2  24   0.52305  11809.25  13.30583     0.079     0.070     9.884     0.255     0.151     0.739     0.007
   5   5   5   8   0.51248  11570.66  13.03191     7.162     5.015     3.036     0.260     0.153     0.724     0.207
   7   5   1  48   0.51248  11570.66  13.03191     7.162     5.015    18.219     0.260     0.153     0.724     1.240
   6   6   2  24   0.50910  11494.28  12.94835     0.056     0.060     8.871     0.262     0.154     0.720     0.005
   8   4   0  24   0.49621  11203.24  12.64660     0.047     0.051     8.006     0.269     0.156     0.701     0.004
   7   5   3  48   0.48716  10998.90  12.44891     6.892     4.481    14.876     0.274     0.157     0.689     0.974
   9   1   1  24   0.48716  10998.90  12.44891     6.892     4.481     7.438     0.274     0.157     0.689     0.487
   8   4   2  48   0.48425  10933.24  12.38757     0.045     0.043    14.524     0.275     0.158     0.685     0.006
   6   6   4  24   0.47312  10681.86  12.16123     0.038     0.036     6.617     0.282     0.159     0.669     0.002
   9   3   1  48   0.46525  10504.31  12.00824     5.034     4.004    12.376     0.286     0.159     0.658     0.592
