PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   3   0  -1   2   1.78158  40219.92 164.75718     1.267     1.543  3061.132     0.075     0.032     2.518    14.467
   2   0   1   2   1.77946  40171.90 164.35556     1.259     1.470  3046.535     0.075     0.032     2.515    14.306
   3   0  -2   2   1.77052  39970.32 162.67479     0.974     0.918  2985.835     0.075     0.032     2.503    10.850
   1   0   2   2   1.76719  39894.98 162.04865     0.989     0.912  2963.383     0.075     0.032     2.498    10.936
   2   0  -3   2   1.75052  39518.74 158.93840     1.057     1.081  2853.146     0.076     0.032     2.474    11.246
   1   0  -3   2   1.74931  39491.38 158.71336     0.946     1.012  2845.253     0.076     0.032     2.473    10.037
   2   2  -1   4   1.69630  38295.00 149.01517     5.326     4.505  5031.535     0.079     0.033     2.398    99.959
   1   2   1   4   1.69520  38270.10 148.81638     5.343     4.472  5018.463     0.079     0.033     2.396   100.000
   1   2  -2   4   1.68566  38054.89 147.10279     4.540     4.512  4906.504     0.079     0.034     2.383    83.076
   3   1  -1   4   1.64845  37214.90 140.50232     2.773     2.954  4487.367     0.081     0.035     2.330    46.410
   2   1   1   4   1.64676  37176.85 140.20661     2.899     3.036  4469.038     0.081     0.035     2.328    48.323
   3   1  -2   4   1.63968  37016.91 138.96686     3.868     3.587  4392.616     0.081     0.035     2.318    63.379
   1   1   2   4   1.63703  36957.04 138.50411     4.090     3.591  4364.264     0.081     0.035     2.314    66.574
   2   1  -3   4   1.62375  36657.35 136.19827     3.535     3.411  4224.392     0.082     0.035     2.295    55.698
   1   1  -3   4   1.62278  36635.52 136.03096     3.519     3.451  4214.334     0.082     0.035     2.294    55.311
   2   2   0   4   1.59876  36093.38 131.90730     0.046     0.054  3970.321     0.083     0.036     2.260     0.688
   2   2  -2   4   1.58812  35853.03 130.09781     0.075     0.082  3865.603     0.084     0.036     2.245     1.080
   0   2   2   4   1.58691  35825.80 129.89351     0.233     0.247  3853.870     0.084     0.036     2.243     3.356
   3   0   0   2   1.57374  35528.61 127.67358     4.277     4.439  1863.778     0.085     0.037     2.225    29.734
   3   0  -3   2   1.55116  35018.81 123.90636     5.018     4.423  1759.070     0.086     0.037     2.193    32.925
   0   0   3   2   1.54863  34961.79 123.48822     4.594     4.429  1747.639     0.086     0.037     2.189    29.947
   3   1   0   4   1.47972  33406.18 112.33088     0.032     0.034  2913.418     0.090     0.040     2.092     0.350
   3   1  -3   4   1.46090  32981.35 109.36791     0.014     0.012  2767.998     0.091     0.040     2.065     0.145
   0   1   3   4   1.45879  32933.70 109.03785     0.015     0.012  2752.035     0.091     0.040     2.062     0.155
   1   3   0   4   1.38494  31266.77  97.77822     3.586     3.167  2235.690     0.096     0.043     1.958    29.901
   1   3  -1   4   1.38320  31227.39  97.51899     3.834     3.321  2224.446     0.096     0.043     1.955    31.809
   0   3   1   4   1.38300  31222.89  97.48937     3.858     3.336  2223.163     0.096     0.043     1.955    31.993
   3   2  -1   4   1.37773  31103.98  96.70866     1.603     1.477  2189.487     0.097     0.043     1.948    13.091
   2   2   1   4   1.37674  31081.75  96.56304     1.517     1.410  2183.234     0.097     0.044     1.946    12.355
   3   2  -2   4   1.37260  30988.11  95.95060     1.020     0.881  2157.038     0.097     0.044     1.940     8.206
   1   2   2   4   1.37104  30952.96  95.72120     1.056     0.876  2147.268     0.097     0.044     1.938     8.459
   2   2  -3   4   1.36321  30776.25  94.57163     1.051     1.037  2098.645     0.098     0.044     1.927     8.227
   1   2  -3   4   1.36264  30763.33  94.48779     0.966     0.971  2095.122     0.098     0.044     1.926     7.552
   4   0  -2   2   1.35704  30636.99  93.67012     0.436     0.438  1030.456     0.098     0.044     1.918     1.677
   2   0   2   2   1.35479  30586.09  93.34155     0.387     0.397  1023.624     0.098     0.044     1.915     1.477
   2   0  -4   2   1.33557  30152.30  90.56306     0.657     0.428   966.770     0.100     0.045     1.888     2.370
   4   0  -1   2   1.30847  29540.48  86.70925     0.517     0.689   890.651     0.102     0.047     1.850     1.717
   3   0   1   2   1.30729  29513.83  86.54312     0.442     0.579   887.440     0.102     0.047     1.848     1.463
   4   0  -3   2   1.29683  29277.84  85.07827     1.366     1.377   859.392     0.103     0.047     1.833     4.378
   4   1  -2   4   1.29536  29244.65  84.87316     0.003     0.003  1711.003     0.103     0.047     1.831     0.019
   1   0   3   2   1.29437  29222.33  84.73533     1.417     1.490   852.892     0.103     0.047     1.830     4.507
   2   1   2   4   1.29340  29200.37  84.59983     0.084     0.088  1700.661     0.103     0.047     1.828     0.531
   3   0  -4   2   1.28578  29028.33  83.54186     0.915     1.176   830.466     0.104     0.048     1.818     2.834
   1   0  -4   2   1.28450  28999.44  83.36475     0.939     1.187   827.163     0.104     0.048     1.816     2.896
   2   3  -1   4   1.27801  28853.03  82.46998     0.009     0.010  1621.166     0.104     0.048     1.807     0.056
   1   3   1   4   1.27754  28842.38  82.40506     0.017     0.018  1618.773     0.104     0.048     1.806     0.100
   2   1  -4   4   1.27665  28822.20  82.28213     0.054     0.059  1614.247     0.104     0.048     1.805     0.326
   3   2   0   4   1.27459  28775.76  81.99956     3.918     4.263  1603.869     0.105     0.048     1.802    23.440
