PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   4   0   0   2   1.18040  26649.47  84.22333     0.399     0.367   619.347     0.113     0.054     1.669     6.730
   4   0  -4   2   1.16246  26244.50  82.27797     0.265     0.217   582.545     0.115     0.055     1.643     4.204
   0   0   4   2   1.16232  26241.37 150.05847     0.008     0.006   582.268     0.115     0.055     1.643     0.128
   4   2  -2   4   1.15043  25972.90  76.24533     0.536     0.458  1117.601     0.116     0.056     1.626    16.323
   2   2   2   4   1.15033  25970.63  88.40596     0.480     0.409  1117.210     0.116     0.056     1.626    14.604
   4   1   0   4   1.13913  25717.88  78.39913     0.154     0.150  1074.345     0.117     0.056     1.610     4.502
   2   2  -4   4   1.13779  25687.68  87.08805     0.449     0.465  1069.306     0.117     0.057     1.608    13.079
   3   3  -1   4   1.12377  25371.19  72.97605     2.714     2.812  1017.570     0.119     0.058     1.588    75.271
   2   3   1   4   1.12373  25370.31  76.41285     2.887     2.991  1017.428     0.119     0.058     1.588    80.058
   4   1  -4   4   1.12298  25353.34  76.72306     0.283     0.285  1014.709     0.119     0.058     1.587     7.821
   0   1   4   4   1.12286  25350.52 120.78340     0.611     0.624  1014.257     0.119     0.058     1.587    16.896
   3   3  -2   4   1.12081  25304.41  72.67042     3.644     3.496  1006.897     0.119     0.058     1.584   100.000
   1   3   2   4   1.12075  25303.01  78.88454     3.564     3.430  1006.674     0.119     0.058     1.584    97.795
   4   2  -1   4   1.12065  25300.79  73.12458     0.680     0.651  1006.320     0.119     0.058     1.584    18.638
   3   2   1   4   1.12060  25299.56  78.65141     0.649     0.623  1006.125     0.119     0.058     1.584    17.789
   2   3  -3   4   1.11590  25193.41  75.60974     3.474     3.450   989.343     0.119     0.058     1.577    93.679
   1   3  -3   4   1.11587  25192.89  78.38675     3.226     3.203   989.262     0.119     0.058     1.577    86.968
   4   2  -3   4   1.11288  25125.32  72.32742     1.556     1.560   978.691     0.120     0.058     1.573    41.492
   1   2   3   4   1.11277  25122.75  90.90348     1.341     1.350   978.290     0.120     0.058     1.573    35.762
   3   2  -4   4   1.10616  24973.57  77.18624     1.128     1.239   955.258     0.120     0.059     1.564    29.364
