PWDR PG3_45611.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   1   0   0   2   4.72638 106671.82 1181.40489     1.497     1.387 152378.718     0.028     0.010     6.681    98.161
   1   0  -1   2   4.64120 104750.09 1140.20238     1.261     1.129 141686.594     0.029     0.010     6.561    76.887
   0   0   1   2   4.63432 104594.80 1136.90440     1.218     1.121 140847.941     0.029     0.010     6.551    73.806
   1   1   0   4   3.19657  72155.37 550.66793     3.410     3.409 63764.026     0.042     0.013     4.519    93.540
   1   1  -1   4   3.16983  71551.87 541.70290     3.770     3.699 61656.757     0.042     0.014     4.481   100.000
   0   1   1   4   3.16763  71502.33 540.97010     3.756     3.728 61486.119     0.042     0.014     4.478    99.350
   2   0  -1   2   2.71346  61253.10 399.68544     5.308     4.805 16554.036     0.049     0.016     3.836    37.799
   1   0   1   2   2.70934  61159.97 398.49599     5.580     4.773 16453.570     0.049     0.016     3.830    39.495
   1   0  -2   2   2.66118  60073.17 384.74023     4.839     4.759 15314.586     0.050     0.016     3.762    31.882
   2   0   0   2   2.36319  53347.91 304.77686     0.064     0.048  9523.670     0.056     0.018     3.341     0.264
   2   0  -2   2   2.32060  52386.60 294.07382     0.062     0.082  8855.412     0.057     0.019     3.280     0.236
   0   0   2   2   2.31716  52308.93 293.21694     0.259     0.362  8802.996     0.058     0.019     3.275     0.980
   2   1  -1   4   2.30072  51938.03 289.14184     0.013     0.016 17111.835     0.058     0.019     3.252     0.095
   1   1   1   4   2.29821  51881.22 288.52009     0.021     0.027 17037.078     0.058     0.019     3.249     0.157
   1   1  -2   4   2.26860  51212.87 281.25272     0.003     0.001 16175.805     0.059     0.019     3.207     0.018
   0   2   0   2   2.16980  48983.15 257.64588     0.485     0.556  6768.473     0.061     0.020     3.067     1.412
   2   1   0   4   2.07541  46852.68 236.00824     0.483     0.516 11330.688     0.064     0.021     2.934     2.354
   2   1  -2   4   2.04638  46197.46 229.53454     0.453     0.486 10709.930     0.065     0.022     2.893     2.089
   0   1   2   4   2.04402  46144.17 229.01171     0.254     0.241 10660.585     0.065     0.022     2.889     1.163
   1   2   0   4   1.97193  44517.01 213.32059     1.489     1.363  9234.349     0.068     0.023     2.787     5.917
   1   2  -1   4   1.96561  44374.19 211.96846     1.257     1.111  9116.396     0.068     0.023     2.778     4.928
   0   2   1   4   1.96508  44362.37 211.85670     1.236     1.091  9106.682     0.068     0.023     2.778     4.843
   3   0  -1   2   1.78248  40240.70 174.59524     1.366     1.682  3082.513     0.075     0.026     2.520     1.812
   2   0   1   2   1.78053  40196.66 174.21548     1.394     1.625  3069.042     0.075     0.026     2.517     1.841
   3   0  -2   2   1.76856  39926.43 171.89330     0.976     0.903  2987.326     0.075     0.027     2.500     1.254
   1   0   2   2   1.76551  39857.68 171.30487     0.869     0.778  2966.801     0.075     0.027     2.496     1.110
   2   0  -3   2   1.74422  39377.23 167.21902     1.012     1.127  2826.297     0.076     0.027     2.466     1.231
   1   0  -3   2   1.74313  39352.46 167.00961     0.893     1.036  2819.191     0.076     0.027     2.464     1.084
   2   2  -1   4   1.69463  38257.69 157.87779     4.775     4.675  5036.567     0.079     0.028     2.395    10.346
   1   2   1   4   1.69362  38234.97 157.69083     4.898     4.693  5024.612     0.079     0.028     2.394    10.587
   1   2  -2   4   1.68166  37965.08 155.47782     4.552     4.674  4884.220     0.079     0.029     2.377     9.564
   3   1  -1   4   1.64881  37223.46 149.47205     2.587     3.046  4513.564     0.081     0.029     2.331     5.023
   2   1   1   4   1.64726  37188.60 149.19247     2.718     3.059  4496.678     0.081     0.029     2.329     5.257
   3   1  -2   4   1.63777  36974.29 147.47913     3.741     3.778  4393.905     0.081     0.030     2.315     7.071
   1   1   2   4   1.63535  36919.67 147.04394     4.014     3.877  4367.996     0.081     0.030     2.312     7.542
   2   1  -3   4   1.61839  36536.85 144.01057     3.435     3.540  4189.603     0.082     0.030     2.288     6.191
   1   1  -3   4   1.61752  36517.06 143.85455     3.527     3.662  4180.532     0.082     0.030     2.286     6.342
   2   2   0   4   1.59829  36083.00 140.45261     0.033     0.045  3985.252     0.083     0.031     2.259     0.056
   2   2  -2   4   1.58491  35781.15 138.10936     0.060     0.078  3853.547     0.084     0.031     2.240     0.099
   0   2   2   4   1.58382  35756.37 137.91781     0.270     0.349  3842.882     0.084     0.031     2.239     0.447
   3   0   0   2   1.57546  35567.78 136.46407     4.175     4.583  1881.219     0.085     0.031     2.227     3.378
   3   0  -3   2   1.54707  34926.81 131.57687     4.880     4.683  1749.217     0.086     0.032     2.187     3.672
   0   0   3   2   1.54477  34875.02 131.18560     4.681     4.606  1738.863     0.086     0.032     2.184     3.501
   3   1   0   4   1.48089  33433.01 120.51029     0.074     0.078  2937.177     0.090     0.034     2.093     0.094
   3   1  -3   4   1.45723  32898.99 116.66420     0.023     0.016  2753.946     0.091     0.035     2.060     0.028
   0   1   3   4   1.45532  32855.69 116.35492     0.033     0.022  2739.476     0.092     0.035     2.057     0.039
   1   3   0   4   1.38320  31227.85 105.00452     3.384     3.288  2235.543     0.096     0.038     1.955     3.254
   1   3  -1   4   1.38101  31178.43 104.66844     3.815     3.576  2221.424     0.096     0.038     1.952     3.646
   0   3   1   4   1.38083  31174.33 104.64056     3.769     3.529  2220.255     0.096     0.038     1.952     3.600
   3   2  -1   4   1.37732  31095.12 104.10302     1.746     1.654  2197.775     0.097     0.038     1.947     1.650
