PWDR PG3_45598.gsa Bank 1 Mn3Ga  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   1   0   0   6   4.68337 105693.65 1125.63904     1.451     1.287430918.174     0.028     0.016     6.620    94.225
   1   0   1  12   3.18994  72002.23 528.67233     3.577     3.413185489.612     0.042     0.019     4.509   100.000
   1   1   0   6   2.70395  61035.91 381.10871     4.535     4.602 47879.797     0.049     0.021     3.822    32.731
   2   0   0   6   2.34169  52860.81 286.13471     0.092     0.089 26932.386     0.057     0.024     3.310     0.374
   0   0   2   2   2.17841  49175.92 247.54461     0.441     0.337  6723.518     0.061     0.026     3.079     0.447
   2   0   1  12   2.06263  46563.01 221.77640     0.314     0.236 32424.956     0.065     0.027     2.916     1.537
   1   0   2  12   1.97519  44589.51 203.19450     1.235     1.193 27266.480     0.067     0.028     2.792     5.077
   2   1   0  12   1.77015  39961.57 162.60409     1.045     0.925 17588.497     0.075     0.032     2.502     2.770
   1   1   2  12   1.69637  38296.41 149.02814     4.403     4.286 14834.624     0.079     0.033     2.398     9.846
   2   1   1  24   1.63996  37023.03 139.01557     3.187     3.351 25914.999     0.081     0.035     2.318    12.448
   2   0   2  12   1.59497  36007.56 131.26106     0.075     0.052 11593.101     0.084     0.036     2.255     0.130
   3   0   0   6   1.56112  35243.61 125.56216     4.333     4.211  5319.977     0.085     0.037     2.207     3.475
   3   0   1  12   1.46963  33178.35 110.73805     0.006     0.017  8356.420     0.091     0.040     2.077     0.007
   1   0   3  12   1.38711  31315.77  98.10158     3.490     2.970  6631.895     0.096     0.043     1.961     3.489
   2   1   2  24   1.37378  31014.76  96.12500     1.072     0.870 12761.046     0.097     0.044     1.942     2.063
   2   2   0   6   1.35197  30522.56  92.93248     0.271     0.126  2992.487     0.099     0.045     1.911     0.122
   3   1   0  12   1.29893  29325.29  85.37198     0.898     1.055  5099.623     0.103     0.047     1.836     0.690
